Date : 2025-12-08 00:58:06
Directory : /Users/vajrap/workspace/MyProject
Total : 1241 files,  607665 codes, 60503 comments, 21300 blanks, all 689468 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        179 |    485,309 |     51,008 |      5,506 |    541,823 |
| TypeScript         |        866 |     78,976 |      9,051 |     11,608 |     99,635 |
| JSON               |         83 |     23,407 |          0 |         11 |     23,418 |
| TypeScript JSX     |         43 |      8,569 |        286 |        699 |      9,554 |
| Markdown           |         30 |      6,544 |          0 |      1,921 |      8,465 |
| Log                |          1 |      2,003 |          0 |         91 |      2,094 |
| JSON with Comments |          8 |      1,482 |          8 |      1,253 |      2,743 |
| SQLite             |         12 |        444 |         58 |         46 |        548 |
| HTML               |          5 |        311 |         20 |         48 |        379 |
| CSS                |          1 |        284 |          6 |         46 |        336 |
| Shell Script       |          1 |        153 |         24 |         34 |        211 |
| YAML               |          3 |        119 |         32 |         21 |        172 |
| XML                |          7 |         37 |          0 |          2 |         39 |
| Properties         |          1 |         22 |         10 |         10 |         42 |
| Docker             |          1 |          5 |          0 |          4 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |      1,241 |    607,665 |     60,503 |     21,300 |    689,468 |
| . (Files)                                                                                                                                                          |          9 |      2,013 |         56 |        600 |      2,669 |
| .idea                                                                                                                                                              |          5 |         35 |          0 |          0 |         35 |
| .idea (Files)                                                                                                                                                      |          3 |         26 |          0 |          0 |         26 |
| .idea/dictionaries                                                                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| .idea/inspectionProfiles                                                                                                                                           |          1 |          6 |          0 |          0 |          6 |
| Client                                                                                                                                                             |        377 |    517,248 |     52,854 |      8,601 |    578,703 |
| Client/L10N                                                                                                                                                        |          4 |        855 |        272 |         87 |      1,214 |
| Client/battle-simulator                                                                                                                                            |         27 |      7,186 |        113 |        325 |      7,624 |
| Client/battle-simulator (Files)                                                                                                                                    |          8 |      4,294 |          3 |         32 |      4,329 |
| Client/battle-simulator/dist                                                                                                                                       |          3 |        261 |         43 |         41 |        345 |
| Client/battle-simulator/dist (Files)                                                                                                                               |          2 |         14 |          0 |          3 |         17 |
| Client/battle-simulator/dist/assets                                                                                                                                |          1 |        247 |         43 |         38 |        328 |
| Client/battle-simulator/public                                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| Client/battle-simulator/src                                                                                                                                        |         15 |      2,630 |         67 |        251 |      2,948 |
| Client/battle-simulator/src (Files)                                                                                                                                |          3 |        217 |          2 |         31 |        250 |
| Client/battle-simulator/src/components                                                                                                                             |          8 |      1,863 |         27 |        147 |      2,037 |
| Client/battle-simulator/src/components/BattleResults                                                                                                               |          5 |      1,233 |         25 |         94 |      1,352 |
| Client/battle-simulator/src/components/PartyConfig                                                                                                                 |          2 |        458 |          2 |         41 |        501 |
| Client/battle-simulator/src/components/PresetManager                                                                                                               |          1 |        172 |          0 |         12 |        184 |
| Client/battle-simulator/src/constants                                                                                                                              |          1 |         97 |          0 |         19 |        116 |
| Client/battle-simulator/src/services                                                                                                                               |          2 |        412 |         21 |         41 |        474 |
| Client/battle-simulator/src/utils                                                                                                                                  |          1 |         41 |         17 |         13 |         71 |
| Client/text-visualizer                                                                                                                                             |         13 |      4,724 |        188 |        340 |      5,252 |
| Client/text-visualizer (Files)                                                                                                                                     |          5 |        329 |         15 |        134 |        478 |
| Client/text-visualizer/public                                                                                                                                      |          8 |      4,395 |        173 |        206 |      4,774 |
| Client/webapp                                                                                                                                                      |        333 |    504,483 |     52,281 |      7,849 |    564,613 |
| Client/webapp (Files)                                                                                                                                              |         19 |      6,742 |         38 |        962 |      7,742 |
| Client/webapp/.next                                                                                                                                                |        242 |    483,918 |     50,997 |      5,500 |    540,415 |
| Client/webapp/.next/dev                                                                                                                                            |        242 |    483,918 |     50,997 |      5,500 |    540,415 |
| Client/webapp/.next/dev (Files)                                                                                                                                    |          5 |        102 |          0 |          0 |        102 |
| Client/webapp/.next/dev/cache                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| Client/webapp/.next/dev/logs                                                                                                                                       |          1 |      2,003 |          0 |         91 |      2,094 |
| Client/webapp/.next/dev/server                                                                                                                                     |        159 |    276,183 |     29,396 |      3,128 |    308,707 |
| Client/webapp/.next/dev/server (Files)                                                                                                                             |          9 |         85 |          0 |          0 |         85 |
| Client/webapp/.next/dev/server/app                                                                                                                                 |         59 |        407 |          0 |         18 |        425 |
| Client/webapp/.next/dev/server/app (Files)                                                                                                                         |          2 |         15 |          0 |          2 |         17 |
| Client/webapp/.next/dev/server/app/_not-found                                                                                                                      |          7 |         49 |          0 |          2 |         51 |
| Client/webapp/.next/dev/server/app/_not-found (Files)                                                                                                              |          2 |         13 |          0 |          2 |         15 |
| Client/webapp/.next/dev/server/app/_not-found/page                                                                                                                 |          5 |         36 |          0 |          0 |         36 |
| Client/webapp/.next/dev/server/app/api                                                                                                                             |         10 |         52 |          0 |          4 |         56 |
| Client/webapp/.next/dev/server/app/api/test-login                                                                                                                  |          5 |         26 |          0 |          2 |         28 |
| Client/webapp/.next/dev/server/app/api/test-login (Files)                                                                                                          |          2 |          8 |          0 |          2 |         10 |
| Client/webapp/.next/dev/server/app/api/test-login/route                                                                                                            |          3 |         18 |          0 |          0 |         18 |
| Client/webapp/.next/dev/server/app/api/test-register                                                                                                               |          5 |         26 |          0 |          2 |         28 |
| Client/webapp/.next/dev/server/app/api/test-register (Files)                                                                                                       |          2 |          8 |          0 |          2 |         10 |
| Client/webapp/.next/dev/server/app/api/test-register/route                                                                                                         |          3 |         18 |          0 |          0 |         18 |
| Client/webapp/.next/dev/server/app/character-creation                                                                                                              |          7 |         51 |          0 |          2 |         53 |
| Client/webapp/.next/dev/server/app/character-creation (Files)                                                                                                      |          2 |         15 |          0 |          2 |         17 |
