"filename", "language", "TypeScript", "Markdown", "SQLite", "JSON", "comment", "blank", "total"
"/Users/vajrap/workspace/MyProject/Server/src/API/actions/index.ts", "TypeScript", 433, 0, 0, 0, 67, 68, 568
"/Users/vajrap/workspace/MyProject/Server/src/API/auth/index.ts", "TypeScript", 53, 0, 0, 0, 2, 11, 66
"/Users/vajrap/workspace/MyProject/Server/src/API/character/index.ts", "TypeScript", 220, 0, 0, 0, 17, 27, 264
"/Users/vajrap/workspace/MyProject/Server/src/API/characterCreation/CLASS_BALANCE_ANALYSIS.md", "Markdown", 0, 141, 0, 0, 0, 47, 188
"/Users/vajrap/workspace/MyProject/Server/src/API/characterCreation/background.ts", "TypeScript", 95, 0, 0, 0, 0, 1, 96
"/Users/vajrap/workspace/MyProject/Server/src/API/characterCreation/classes.ts", "TypeScript", 385, 0, 0, 0, 0, 3, 388
"/Users/vajrap/workspace/MyProject/Server/src/API/characterCreation/enums.ts", "TypeScript", 42, 0, 0, 0, 0, 3, 45
"/Users/vajrap/workspace/MyProject/Server/src/API/characterCreation/index.ts", "TypeScript", 113, 0, 0, 0, 11, 22, 146
"/Users/vajrap/workspace/MyProject/Server/src/API/characterCreation/races.ts", "TypeScript", 105, 0, 0, 0, 0, 8, 113
"/Users/vajrap/workspace/MyProject/Server/src/API/characterCreation/types.ts", "TypeScript", 43, 0, 0, 0, 0, 7, 50
"/Users/vajrap/workspace/MyProject/Server/src/API/guest/index.ts", "TypeScript", 5, 0, 0, 0, 1, 2, 8
"/Users/vajrap/workspace/MyProject/Server/src/API/index.ts", "TypeScript", 18, 0, 0, 0, 2, 2, 22
"/Users/vajrap/workspace/MyProject/Server/src/API/login/index.ts", "TypeScript", 105, 0, 0, 0, 6, 12, 123
"/Users/vajrap/workspace/MyProject/Server/src/API/networkTest/index.ts", "TypeScript", 11, 0, 0, 0, 0, 2, 13
"/Users/vajrap/workspace/MyProject/Server/src/API/party/index.ts", "TypeScript", 92, 0, 0, 0, 9, 20, 121
"/Users/vajrap/workspace/MyProject/Server/src/API/register/index.ts", "TypeScript", 86, 0, 0, 0, 5, 9, 100
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/battle_report.ts", "TypeScript", 22, 0, 0, 0, 4, 8, 34
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/character.ts", "TypeScript", 52, 0, 0, 0, 8, 10, 70
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/game_state.ts", "TypeScript", 30, 0, 0, 0, 9, 9, 48
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/index.ts", "TypeScript", 29, 0, 0, 0, 2, 3, 34
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/item_instances.ts", "TypeScript", 27, 0, 0, 0, 16, 12, 55
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/market_state.ts", "TypeScript", 14, 0, 0, 0, 9, 9, 32
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/news.ts", "TypeScript", 56, 0, 0, 0, 37, 17, 110
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/party.ts", "TypeScript", 19, 0, 0, 0, 4, 7, 30
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/resource_production_tracking.ts", "TypeScript", 13, 0, 0, 0, 8, 9, 30
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/session.ts", "TypeScript", 15, 0, 0, 0, 0, 3, 18
"/Users/vajrap/workspace/MyProject/Server/src/Database/Schema/user.ts", "TypeScript", 14, 0, 0, 0, 0, 3, 17
"/Users/vajrap/workspace/MyProject/Server/src/Database/Services/userService.ts", "TypeScript", 149, 0, 0, 0, 45, 29, 223
"/Users/vajrap/workspace/MyProject/Server/src/Database/connection.ts", "TypeScript", 39, 0, 0, 0, 6, 7, 52
"/Users/vajrap/workspace/MyProject/Server/src/Database/gameStateStore.ts", "TypeScript", 120, 0, 0, 0, 0, 13, 133
"/Users/vajrap/workspace/MyProject/Server/src/Database/init.ts", "TypeScript", 398, 0, 0, 0, 46, 50, 494
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0000_lumpy_taskmaster.sql", "SQLite", 0, 0, 12, 0, 0, 1, 13
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0001_sour_clint_barton.sql", "SQLite", 0, 0, 19, 0, 1, 1, 21
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0002_fine_blue_shield.sql", "SQLite", 0, 0, 29, 0, 1, 1, 31
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0003_small_earthquake.sql", "SQLite", 0, 0, 2, 0, 0, 0, 2
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0004_white_imperial_guard.sql", "SQLite", 0, 0, 17, 0, 1, 0, 18
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0005_ambitious_hammerhead.sql", "SQLite", 0, 0, 147, 0, 13, 1, 161
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0006_omniscient_terror.sql", "SQLite", 0, 0, 12, 0, 0, 0, 12
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0007_add_username_to_users.sql", "SQLite", 0, 0, 16, 0, 10, 8, 34
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0008_add_party_id_to_characters.sql", "SQLite", 0, 0, 10, 0, 2, 2, 14
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0009_add_type_to_characters.sql", "SQLite", 0, 0, 10, 0, 2, 2, 14
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0010_add_all_missing_character_columns.sql", "SQLite", 0, 0, 159, 0, 26, 28, 213
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/0011_make_starting_class_nullable.sql", "SQLite", 0, 0, 11, 0, 2, 2, 15
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/meta/0000_snapshot.json", "JSON", 0, 0, 0, 90, 0, 0, 90
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/meta/0001_snapshot.json", "JSON", 0, 0, 0, 192, 0, 0, 192
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/meta/0002_snapshot.json", "JSON", 0, 0, 0, 356, 0, 0, 356
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/meta/0003_snapshot.json", "JSON", 0, 0, 0, 363, 0, 0, 363
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/meta/0004_snapshot.json", "JSON", 0, 0, 0, 616, 0, 0, 616
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/meta/0005_snapshot.json", "JSON", 0, 0, 0, 1465, 0, 0, 1465
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/meta/0006_snapshot.json", "JSON", 0, 0, 0, 1471, 0, 0, 1471
"/Users/vajrap/workspace/MyProject/Server/src/Database/migrations/meta/_journal.json", "JSON", 0, 0, 0, 69, 0, 0, 69
"/Users/vajrap/workspace/MyProject/Server/src/Database/persistence.ts", "TypeScript", 130, 0, 0, 0, 0, 19, 149
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Battle/Battle.ts", "TypeScript", 723, 0, 0, 0, 43, 103, 869
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Battle/BattleContext.ts", "TypeScript", 49, 0, 0, 0, 32, 8, 89
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Battle/BattleReport.ts", "TypeScript", 94, 0, 0, 0, 12, 15, 121
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Battle/BattleStatistics.ts", "TypeScript", 198, 0, 0, 0, 45, 31, 274
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Battle/damageResolution.ts", "TypeScript", 599, 0, 0, 0, 151, 118, 868
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Battle/dropProcess.ts", "TypeScript", 234, 0, 0, 0, 60, 44, 338
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Battle/getPlayableSkill.ts", "TypeScript", 99, 0, 0, 0, 16, 17, 132
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Battle/getTarget.ts", "TypeScript", 427, 0, 0, 0, 39, 85, 551
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Battle/types.ts", "TypeScript", 47, 0, 0, 0, 0, 2, 49
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Blueprint.ts", "TypeScript", 217, 0, 0, 0, 0, 19, 236
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Armor/body.ts", "TypeScript", 93, 0, 0, 0, 0, 10, 103
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Armor/foot.ts", "TypeScript", 24, 0, 0, 0, 0, 4, 28
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Armor/hand.ts", "TypeScript", 23, 0, 0, 0, 0, 4, 27
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Armor/head.ts", "TypeScript", 65, 0, 0, 0, 0, 8, 73
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Armor/jewelry.ts", "TypeScript", 57, 0, 0, 0, 0, 8, 65
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Armor/leg.ts", "TypeScript", 23, 0, 0, 0, 0, 4, 27
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Axe/axe.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Axe/broadAxe.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Axe/warAxe.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Blade/cutlass.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Blade/falchion.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Blade/katana.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Blade/scimitar.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Bow/crossbow.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Bow/longBow.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Bow/shortBow.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Dagger/knife.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Dagger/stiletto.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Hammer/hammer.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Hammer/morningStar.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Hammer/scepter.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Hammer/warHammer.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Orb/orb.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Shield/buckler.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Shield/kiteShield.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Shield/towerShield.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Spear/dory.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Spear/halberd.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Spear/javelin.ts", "TypeScript", 16, 0, 0, 0, 0, 3, 19
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Staff/longestStaff.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Staff/quarterStaff.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
"/Users/vajrap/workspace/MyProject/Server/src/Entity/Blueprint/Equipment/Weapon/Staff/staff.ts", "TypeScript", 12, 0, 0, 0, 0, 3, 15
