"filename", "language", "XML", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "PostCSS", "Markdown", "TypeScript JSX", "YAML", "Shell Script", "HTML", "Log", "SQLite", "Properties", "Docker", "comment", "blank", "total"
"/Users/vajrap/workspace/MyProject/.idea/MyProject.iml", "XML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/Users/vajrap/workspace/MyProject/.idea/dictionaries/project.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/vajrap/workspace/MyProject/.idea/inspectionProfiles/Project_Default.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/vajrap/workspace/MyProject/.idea/modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/vajrap/workspace/MyProject/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/app/(pages)/login/LoginView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 1, 8, 167
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/app/(pages)/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/app/Themes/ThemeProvider.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/app/Themes/index.d.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/app/Themes/themes/arcaneTheme.ts", "TypeScript", 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 13, 436
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/app/globals.css", "PostCSS", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/package-lock.json", "JSON", 0, 0, 7109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7110
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/package.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/public/file.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/public/globe.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/public/next.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/public/vercel.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/public/window.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/vajrap/workspace/MyProject/Client/React/abedclient/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/vajrap/workspace/MyProject/Client/webapp/.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 10, 10, 42
"/Users/vajrap/workspace/MyProject/Client/webapp/COMPONENT_ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 205
"/Users/vajrap/workspace/MyProject/Client/webapp/GAME_VIEW_DESIGN.md", "Markdown", 0, 0, 0, 0, 0, 0, 468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 567
"/Users/vajrap/workspace/MyProject/Client/webapp/LANGUAGE_SWITCHING.md", "Markdown", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 228
"/Users/vajrap/workspace/MyProject/Client/webapp/bun.lock", "JSON with Comments", 0, 0, 0, 0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 296, 625
"/Users/vajrap/workspace/MyProject/Client/webapp/dist/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 151
"/Users/vajrap/workspace/MyProject/Client/webapp/dist/assets/index-DBOcT50q.js", "JavaScript", 0, 0, 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45, 351
"/Users/vajrap/workspace/MyProject/Client/webapp/dist/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 10, 19, 153
"/Users/vajrap/workspace/MyProject/Client/webapp/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 10, 19, 153
"/Users/vajrap/workspace/MyProject/Client/webapp/package-lock.json", "JSON", 0, 0, 4565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4566
"/Users/vajrap/workspace/MyProject/Client/webapp/package.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/Users/vajrap/workspace/MyProject/Client/webapp/public/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 151
"/Users/vajrap/workspace/MyProject/Client/webapp/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 13, 58
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/Alert/AlertBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 0, 0, 0, 0, 0, 7, 16, 304
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/Alert/index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/ActionScheduleModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 11, 19, 294
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/ActionSelectionModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 7, 13, 180
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/GameSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 12, 17, 164
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/GameViewIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 6, 9, 108
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/PartyMemberCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 16, 14, 240
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/GameView/index.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/LanguageSwitcher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 278, 0, 0, 0, 0, 0, 0, 0, 10, 22, 310
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/MusicPlayer/components/MusicPlayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 361, 0, 0, 0, 0, 0, 0, 0, 9, 23, 393
"/Users/vajrap/workspace/MyProject/Client/webapp/src/components/MusicPlayer/components/ScrollingText.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
